,0
0,8.070506961807618e-08
1,0.0
2,4.4993385853875835e-07
3,2.5972002181648184e-05
4,0.0
5,
6,0.0
7,1.5732280810784217e-07
8,6.775581886972454e-07
9,0.0
10,1.2003663998398872e-07
11,2.034579486894878e-06
12,1.0058000465484262e-07
13,0.0
14,0.0
15,1.8592424669026487e-08
16,0.0
17,4.2170134141088194e-07
18,2.8628791213640122e-05
19,0.0
20,0.0
21,0.0
22,0.0
23,3.5232537389209084e-07
24,
25,0.0
26,0.0
27,3.246298588252057e-07
28,0.0
29,0.0
30,4.2709392763548276e-07
31,5.0628976431452036e-08
32,0.0
33,0.0
34,3.965698767821701e-08
35,2.266664680636661e-06
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,4.2714142011707945e-07
42,0.0
43,4.02830407290747e-07
44,0.0
45,0.0
46,3.988953948284568e-08
47,0.0
48,8.819790339471967e-08
49,0.0
50,0.0
51,9.411149106011419e-07
52,0.0
53,2.2423667249337034e-06
54,1.0428398615108664e-06
55,0.0
56,8.468862580001346e-07
57,1.0535954030930166e-06
58,1.1176181890125025e-07
59,0.0
60,0.0
61,
62,0.0
63,0.0
64,9.155450103488172e-09
65,
66,0.0
67,0.0
68,1.8122343943965712e-07
69,9.479416708052655e-06
70,0.0
71,0.0
72,0.0
73,0.0
74,1.5555677374865367e-06
75,6.718825355825632e-08
76,0.0
77,2.796507125313721e-07
78,0.0
79,0.0
80,6.03252738767434e-06
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,1.0430223784623388e-07
89,1.4331362600364323e-06
90,2.828262259102762e-06
91,2.5136451601039964e-08
92,7.845673802998157e-08
93,1.5281123342027152e-06
94,5.203780025810749e-08
95,6.799208654527263e-06
96,0.0
97,6.753866588621986e-07
98,1.024303918882543e-05
99,0.0
100,7.903320263876056e-08
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,5.190647284097621e-07
110,0.0
111,2.0751292234845694e-07
112,0.0
113,0.0
114,2.150897659213926e-06
115,1.3163783798014901e-05
116,0.0
117,5.511671929854054e-08
118,9.515174880192054e-08
119,0.0
120,1.0483449516162596e-07
121,2.0681240047153227e-06
122,0.0
123,0.0
124,3.16980348834972e-07
125,2.820172013571796e-07
126,0.0
127,0.0
128,0.0
129,0.0
130,1.1102125174351938e-07
131,0.0
132,0.0
133,0.0
134,0.0
135,7.660604130330786e-06
136,0.0
137,0.0
138,0.0
139,0.0
140,1.531591056610975e-08
141,9.601729847649353e-07
142,0.0
143,1.1290215748496143e-06
144,0.0
145,7.068302372362598e-08
146,0.0
147,1.1970677585839933e-06
148,0.0
149,0.0
150,3.7512594853722135e-07
151,4.1255702827371457e-07
152,7.10927653158304e-07
153,3.4040857977455616e-06
154,9.389221736799458e-07
155,0.0
156,1.2837671850210456e-06
157,8.305759940696873e-08
158,0.0
159,0.0
160,0.0
161,0.0
162,2.959893443836022e-05
163,0.0
164,1.4836818586094512e-07
165,0.0
166,4.296711411664483e-07
167,0.0
168,0.0
169,3.5469319393417887e-07
170,0.0
171,0.0
172,2.4185294180244293e-06
173,0.0
174,1.7307139877100614e-08
175,1.1619967566346528e-07
176,0.0
177,1.2948447266078756e-05
178,0.0
179,0.0
180,0.0
181,1.669420391970088e-06
182,3.0528819029035608e-06
183,0.0
184,4.205134536551282e-08
185,4.320990606108809e-08
186,0.0
187,0.0
188,0.0
189,2.5939879659710283e-07
190,1.1540369110081078e-06
191,0.0
192,0.0
193,8.964084409762999e-08
194,4.153272794536868e-07
195,1.2618630353406927e-05
196,0.0
197,0.0
198,5.596522788389752e-06
199,0.0
200,3.034404073384028e-08
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
